Book_1	Ch_1_1	V_1_1	Ch_1_2	V_1_2	Book_2	Ch_2_1	V_2_1	Ch_2_2	V_2_2	Reverse_ref	After_phrase_word_ref_1	After_phrase_word_ref_2	Comment	Comment_2	NT_Only										
Matthew	1	1	1	17	Luke	3	23	3	38	TRUE			Genealogy	6;18	TRUE										
Matthew	1	1	1	17	Mark	12	35	12	37	TRUE			Genealogy		TRUE										
Luke	3	23	3	38	Mark	12	35	12	37	TRUE			Genealogy		TRUE										
Matthew	1	2	1	6	1 Chronicles	1	28			TRUE			Genealogy												
Matthew	1	6	1	11	1 Chronicles	3	10	3	16	TRUE			Genealogy												
Matthew	1	18	1	25	Luke	2	1	2	7	TRUE			Birth	7	TRUE										
Matthew	2	1	2	12	Luke	2	8	2	20	TRUE			Adoration	8	TRUE										
Matthew	2	22	2	23	Luke	2	39	2	40	TRUE			Childhood of Jesus in Nazareth	11	TRUE										
Matthew	3	1	3	6	Mark	1	2	1	6	TRUE			John the Baptist	13	TRUE										
Matthew	3	1	3	6	Luke	3	1	3	6	TRUE			John the Baptist	13	TRUE										
Matthew	3	1	3	6	John	1	19	1	23	TRUE			John the Baptist	13	TRUE										
Mark	1	2	1	6	Luke	3	1	3	6	TRUE			John the Baptist	13	TRUE										
Mark	1	2	1	6	John	1	19	1	23	TRUE			John the Baptist	13	TRUE										
Luke	3	1	3	6	John	1	19	1	23	TRUE			John the Baptist	13	TRUE										
Matthew	3	7	3	10	Luke	3	7	3	9	TRUE			Repentance	14	TRUE										
Matthew	3	11	3	12	Mark	1	7	1	8	TRUE			John’s Messianic Preaching	16	TRUE										
Matthew	3	11	3	12	Luke	3	15	3	18	TRUE			John’s Messianic Preaching	16	TRUE										
Matthew	3	11	3	12	John	1	24	1	28	TRUE			John’s Messianic Preaching	16	TRUE										
Mark	1	7	1	8	Luke	3	15	3	18	TRUE			John’s Messianic Preaching	16	TRUE										
Mark	1	7	1	8	John	1	24	1	28	TRUE			John’s Messianic Preaching	16	TRUE										
Luke	3	15	3	18	John	1	24	1	28	TRUE			John’s Messianic Preaching	16	TRUE										
Matthew	14	3	14	12	Mark	6	17	6	29	TRUE			Death of John the Baptist	17;144	TRUE										
Matthew	14	3	14	12	Luke	3	19	3	20	TRUE			Death of John the Baptist	17;144	TRUE										
Mark	6	17	6	29	Luke	3	19	3	20	TRUE			Death of John the Baptist	17;144	TRUE										
Matthew	3	13	3	17	Mark	1	9	1	11	TRUE			Baptism of Jesus	18	TRUE										
Matthew	3	13	3	17	Luke	3	21	3	22	TRUE			Baptism of Jesus	18	TRUE										
Matthew	3	13	3	17	John	1	29	1	34	TRUE			Baptism of Jesus	18	TRUE										
Mark	1	9	1	11	Luke	3	21	3	22	TRUE			Baptism of Jesus	18	TRUE										
Mark	1	9	1	11	John	1	29	1	34	TRUE			Baptism of Jesus	18	TRUE										
