ch,my_ref,mt_ref,lxx_ref,other_ref,notes
A,A:1,,1:1,A:1,SUBS_LXX (Turn on substuting my_ref for lxx_ref)
A,A:2,,1:1b,, Verses 1 and 2 incorporated into 1 in the AT
A,A:3,,1:1c,A:2,
A,A:4,,1:1d,A:3,
A,A:5,,1:1e,A:4,
A,A:6,,1:1f,A:5,
A,A:7--A:8,,1:1g-1:1h,A:6,
A,A:9,,1:1i,A:7,
A,A:10,,1:1k,A:8,
A,A:11,,1:1l,A:9,
A,,,,A:10,
A,A:12,,1:1m,A:11,
A,A:13,,1:1n,A:12-A:13,
A,A:14,,1:1o,A:14,
A,A:15,,1:1p,A:15,
A,A:16,,1:1q,A:16,
A,A:17,,1:1r,A:17,
A,,,,A:18,
1,1:1,1:1,1:1s,1:1,
1,1:2,1:2,1:2,1:2,
1,1:3,1:3,1:3,1:3,
1,1:4,1:4,1:4,1:4,
1,1:5,1:5,1:5,1:5,
1,1:6,1:6,1:6,1:6,
1,1:7,1:7,1:7,1:7,
1,1:8,1:8,1:8,1:8,
1,1:9,1:9,1:9,1:9,
1,1:10,1:10,1:10,1:10,
1,1:11,1:11,1:11,1:11,
1,1:12,1:12,1:12,1:12,
1,1:13,1:13,1:13,1:13,
1,1:14,1:14,1:14,1:14,
1,1:15,1:15,1:15,,absent in the AT
1,1:16,1:16,1:16,1:16,
1,1:17,1:17,1:17,,absent in the AT
1,1:18,1:18,1:18,,absent in the AT
1,1:19,1:19,1:19,1:18,
1,1:20,1:20,1:20,1:20,
1,1:21,1:21,1:21,1:21,
1,1:22,1:22,1:22,,absent in the AT
2,2:1,2:1,2:1,2:1,
2,2:2,2:2,2:2,2:2,
2,2:3,2:3,2:3,,
2,2:4,2:4,2:4,2:4,
2,2:5,2:5,2:5,2:5,
2,2:6,2:6,2:6,,absent in the AT
2,2:7,2:7,2:7,2:7,
2,2:8,2:8,2:8,2:8,
2,2:9,2:9,2:9,2:9,
2,2:10,2:10,2:10,,
2,2:11,2:11,2:11,,
2,2:12,2:12,2:12,,
2,2:13,2:13,2:13,,
2,2:14,2:14,2:14,2:14,
2,2:15,2:15,2:15,,
2,2:16,2:16,2:16,,
2,2:17,2:17,2:17,2:17,
2,2:18,2:18,2:18,2:18,
2,2:19,2:19,2:19,,
2,2:20,2:20,2:20,,
2,2:21,2:21,2:21,,
2,2:22,2:22,2:22,,
2,2:23,2:23,2:23,,
3,3:1,3:1,3:1,3:1,
3,3:2,3:2,3:2,3:2,
3,3:3,3:3,3:3,3:3,
3,3:4,3:4,3:4,3:4,
3,3:5,3:5,3:5,3:5,
3,3:6,3:6,3:6,3:6,
3,3:7,3:7,3:7,,
3,3:8,3:8,3:8,3:8,
3,3:9,3:9,3:9,3:9,
3,3:10,3:10,3:10,,
3,3:11,3:11,3:11,3:11,
3,,,,3:10,
3,,,,3:7,
3,3:12,3:12,3:12,,
3,3:13,3:13,3:13,3:13,
3,B:1,,3:13a,3:14,Brenton 3:13a-g = Addition B embedded after v.13
3,B:2,,3:13b,3:15,
3,B:3,,3:13c,3:16,
3,B:4,,3:13d,3:16a,
3,B:5,,3:13e,3:17,
3,B:6,,3:13f,3:18,
3,B:7,,3:13g,,
3,3:14,3:14,3:14,,
3,3:15,3:15,3:15,3:19,
4,4:1,4:1,4:1,4:1,
4,4:2,4:2,4:2,4:2,
4,4:3,4:3,4:3,,
4,4:4,4:4,4:4,4:3,
4,4:5,4:5,4:5,,
4,,4:6,,,No separate LXX verse 4:6
4,4:7,4:7,4:7,,
4,4:8,4:8,4:8,4:5,
4,4:9,4:9,4:9,4:6,
4,4:10,4:10,4:10,4:7,
4,4:11,4:11,4:11,4:8,
4,4:12,4:12,4:12,,
4,4:13,4:13,4:13,4:9,
4,4:14,4:14,4:14,4:10,
4,4:15,4:15,4:15,4:11,
4,4:16,4:16,4:16,4:11a,
4,4:17,4:17,4:17,4:12,
C,C:1,,4:17a,4:12a,
C,C:2,,4:17b,4:13,
C,C:3,,4:17c,4:13a-4:13b,
C,C:4,,4:17d,4:14-4:15,
C,C:5,,4:17e,4:15a,
C,C:6,,4:17f,4:16,
C,C:7,,4:17g,4:16a,
C,C:8,,4:17h,4:17,
C,C:9,,4:17i,,
C,C:10,,4:17k,4:18-4:18a,
C,C:11,,4:17l,4:19-4:19a,
C,C:12,,4:17m,4:20,
C,C:13,,4:17n,4:21-4:21a,
C,C:14,,4:17o,4:22-4:22a,
C,C:15,,4:17p,4:22b,
C,C:16,,4:17q,4:23,
C,C:17,,4:17r,4:24,
C,C:18,,4:17s,4:25,
C,C:19,,4:17t,4:25a,
C,C:20,,4:17u,4:25b,
C,C:21,,4:17w,4:26,
C,C:22,,4:17x,4:27,
C,C:23,,4:17y,4:28,
C,C:24,,4:17z,4:29,
5,5:1,5:1,5:1,5:1,Brenton 5:1a-f = first part of Addition D
5,D:2,,5:1a,5:2,
5,D:3,,5:1b,5:3,
5,D:4,,5:1c,5:4,
5,D:5,,5:1d,5:5-5:6,
5,D:6,,5:1e,5:7-5:8,
5,D:7,,5:1f,5:8a-5:9,
5,5:2,5:2,5:2,5:10,LXX 5:2a-b = continuation of Addition D
5,D:9,,5:2a,5:11,
5,D:10,,5:2b,5:12,
5,5:3,5:3,5:3,5:13,
5,5:4,5:4,5:4,5:14,
5,5:5,5:5,5:5,5:15-5:16,
5,5:6,5:6,5:6,5:17,
5,5:7,5:7,5:7,5:18,
5,5:8,5:8,5:8,5:18a,
5,,,,5:19,
5,5:9,5:9,5:9,5:20,
5,5:10,5:10,5:10,5:21,
5,5:11,5:11,5:11,,
5,5:12,5:12,5:12,5:21a,
5,5:13,5:13,5:13,5:22,
5,5:14,5:14,5:14,5:23-5:24,
6,6:1,6:1,6:1,6:1-6:2,
6,6:2,6:2,6:2,6:3-6:4,
6,6:3,6:3,6:3,6:5-6:6,
6,6:4,6:4,6:4,6:6a-6:7,
6,6:5,6:5,6:5,6:8,
6,6:6,6:6,6:6,6:9-6:10,
6,6:7,6:7,6:7,6:11,
6,6:8,6:8,6:8,6:11a,
6,6:9,6:9,6:9,6:11b,
6,6:10,6:10,6:10,6:12,
6,,,,6:13,
6,6:11,6:11,6:11,6:14,
6,,,,6:15,
6,,,,6:16,
6,,,,6:17,
6,,,,6:18,
6,,,,6:19,
6,6:12,6:12,6:12,6:20,
6,6:13,6:13,6:13,6:21-6:22,
6,6:14,6:14,6:14,6:23,
7,7:1,7:1,7:1,6:23a,
7,7:2,7:2,7:2,7:1,
7,,,,7:2,
7,7:3,7:3,7:3,7:3,
7,7:4,7:4,7:4,7:4,
7,7:5,7:5,7:5,7:5,
7,,,,7:6,
7,,,,7:7,
7,7:6,7:6,7:6,7:8,
7,7:7,7:7,7:7,7:9-7:10,
7,7:8,7:8,7:8,7:11-7:12,
7,7:9,7:9,7:9,7:12a,
7,7:10,7:10,7:10,7:13,
7,,,,7:14,
8,8:1,8:1,8:1,7:15,
8,8:2,8:2,8:2,,
8,8:3,8:3,8:3,,
8,8:4,8:4,8:4,,
8,8:5,8:5,8:5,7:16,
8,8:6,8:6,8:6,,
8,8:7,8:7,8:7,,
8,8:8,8:8,8:8,7:17,
8,,,,7:18,
8,,,,7:19,
8,,,,7:20,
8,,,,7:21,
