ch,my_ref,mt_ref,lxx_ref,other_ref,note,,
1,1:1,1:1,1:1,1:1,,,
1,1:2,1:2,1:2,1:2,,,
1,1:3,1:3,1:3,1:3,,,
1,1:4,1:4,1:4,1:4,,,
1,1:5,1:5,1:5,1:5,,,
1,1:6,1:6,1:6,1:6,,,
2,2:1,2:1,2:1,2:1,,,
2,2:2,2:2,2:2,2:2,,,
2,2:3,2:3,2:3,2:3,,,
2,2:4,2:4,2:4,2:4,,,
2,2:5,2:5,2:5,2:5,,,
2,2:6,2:6,2:6,2:6,,,
2,2:7,2:7,2:7,2:7,,,
2,2:8,2:8,2:8,2:8,,,
2,2:9,2:9,2:9,2:9,,,
2,2:10,2:10,2:10,2:10,,,
2,2:11,2:11,2:11,2:11,,,
2,2:12,2:12,2:12,2:12,,,
3,3:0,3:0,3:1,3:1,,,
3,3:1,3:1,3:2,3:1,,,
3,3:2,3:2,3:3,3:2,,,
3,3:3,3:3,3:4,3:3,,,
3,3:4,3:4,3:5,3:4,,,
3,3:5,3:5,3:6,3:5,,,
3,3:6,3:6,3:7,3:6,,,
3,3:7,3:7,3:8,3:7,,,
3,3:8,3:8,3:9,3:8,,,
4,4:0,4:0,4:1,4:1,,,
4,4:1,4:1,4:2,4:1,,,
4,4:2,4:2,4:3,4:2,,,
4,4:3,4:3,4:4,4:3,,,
4,4:4,4:4,4:5,4:4,,,
4,4:5,4:5,4:6,4:5,,,
4,4:6,4:6,4:7,4:6,,,
4,4:7,4:7,4:8,4:7,,,
4,4:8,4:8,4:9,4:8,,,
5,5:0,5:0,5:1,5:1,,,
5,5:1,5:1,5:2,5:1,,,
5,5:2,5:2,5:3,5:2,,,
5,5:3,5:3,5:4,5:3,,,
5,5:4,5:4,5:5,5:4,,,
5,5:5,5:5,5:6,5:5,,,
5,5:6,5:6,5:7,5:6,,,
5,5:7,5:7,5:8,5:7,,,
5,5:8,5:8,5:9,5:8,,,
5,5:9,5:9,5:10,5:9,,,
5,5:10,5:10,5:11,5:10,,,
5,5:11,5:11,5:12,5:11,,,
5,5:12,5:12,5:13,5:12,,,
6,6:0,6:0,6:1,6:1,,,
6,6:1,6:1,6:2,6:1,,,
6,6:2,6:2,6:3,6:2,,,
6,6:3,6:3,6:4,6:3,,,
6,6:4,6:4,6:5,6:4,,,
6,6:5,6:5,6:6,6:5,,,
6,6:6,6:6,6:7,6:6,,,
6,6:7,6:7,6:8,6:7,,,
6,6:8,6:8,6:9,6:8,,,
6,6:9,6:9,6:10,6:9,,,
6,6:10,6:10,6:11,6:10,,,
7,7:0,7:0,7:1,7:0,,,
7,7:1,7:1,7:2,7:1,,,
7,7:2,7:2,7:3,7:2,,,
7,7:3,7:3,7:4,7:3,,,
7,7:4,7:4,7:5,7:4,,,
7,7:5,7:5,7:6,7:5,,,
7,7:6,7:6,7:7,7:6,,,
7,7:7,7:7,7:8,7:7,,,
7,7:8,7:8,7:9,7:8,,,
7,7:9,7:9,7:10,7:9,,,
7,7:10,7:10,7:11,7:10,,,
7,7:11,7:11,7:12,7:11,,,
7,7:12,7:12,7:13,7:12,,,
7,7:13,7:13,7:14,7:13,,,
7,7:14,7:14,7:15,7:14,,,
7,7:15,7:15,7:16,7:15,,,
7,7:16,7:16,7:17,7:16,,,
7,7:17,7:17,7:18,7:17,,,
8,8:0,8:0,8:1,8:0,,,
8,8:1,8:1,8:2,8:1,,,
8,8:2,8:2,8:3,8:2,,,
8,8:3,8:3,8:4,8:3,,,
8,8:4,8:4,8:5,8:4,,,
8,8:5,8:5,8:6,8:5,,,
8,8:6,8:6,8:7,8:6,,,
8,8:7,8:7,8:8,8:7,,,
8,8:8,8:8,8:9,8:8,,,
8,8:9,8:9,8:10,8:9,,,
9,9:0,9:0,9:1,9:0,,,
9,9:1,9:1,9:2,9:1,,,
9,9:2,9:2,9:3,9:2,,,
9,9:3,9:3,9:4,9:3,,,
9,9:4,9:4,9:5,9:4,,,
9,9:5,9:5,9:6,9:5,,,
9,9:6,9:6,9:7,9:6,,,
9,9:7,9:7,9:8,9:7,,,
9,9:8,9:8,9:9,9:8,,,
9,9:9,9:9,9:10,9:9,,,
9,9:10,9:10,9:11,9:10,,,
9,9:11,9:11,9:12,9:11,,,
9,9:12,9:12,9:13,9:12,,,
9,9:13,9:13,9:14,9:13,,,
9,9:14,9:14,9:15,9:14,,,
9,9:15,9:15,9:16,9:15,,,
9,9:16,9:16,9:17,9:16,,,
9,9:17,9:17,9:18,9:17,,,
9,9:18,9:18,9:19,9:18,,,
9,9:19,9:19,9:20,9:19,,,
9,9:20,9:20,9:21,9:20,,,
10,10:1,10:1,9:22,10:1,,,
10,10:2,10:2,9:23,10:2,,,
10,10:3,10:3,9:24,10:3,,,
10,10:4,10:4,9:25,10:4,,,
10,10:5,10:5,9:26,10:5,,,
10,10:6,10:6,9:27,10:6,,,
10,10:7,10:7,9:28,10:7,,,
10,10:8,10:8,9:29,10:8,,,
10,10:9,10:9,9:30,10:9,,,
10,10:10,10:10,9:31,10:10,,,
10,10:11,10:11,9:32,10:11,,,
10,10:12,10:12,9:33,10:12,,,
10,10:13,10:13,9:34,10:13,,,
10,10:14,10:14,9:35,10:14,,,
10,10:15,10:15,9:36,10:15,,,
10,10:16,10:16,9:37,10:16,,,
10,10:17,10:17,9:38,10:17,,,
10,10:18,10:18,9:39,10:18,,,
11,11:0,11:0,,11:0,,,
11,11:1,11:1,10:1,11:1,,,
11,11:2,11:2,10:2,11:2,,,
11,11:3,11:3,10:3,11:3,,,
11,11:4,11:4,10:4,11:4,,,
11,11:5,11:5,10:5,11:5,,,
11,11:6,11:6,10:6,11:6,,,
11,11:7,11:7,10:7,11:7,,,
12,12:0,12:0,11:1,12:0,,,
12,12:1,12:1,11:2,12:1,,,
12,12:2,12:2,11:3,12:2,,,
12,12:3,12:3,11:4,12:3,,,
12,12:4,12:4,11:5,12:4,,,
12,12:5,12:5,11:6,12:5,,,
12,12:6,12:6,11:7,12:6,,,
12,12:7,12:7,11:8,12:7,,,
12,12:8,12:8,11:9,12:8,,,
13,13:0,13:0,12:1,13:0,,,
13,13:1,13:1,12:2,13:1,,,
13,13:2,13:2,12:3,13:2,,,
13,13:3,13:3,12:4,13:3,,,
13,13:4,13:4,12:5,13:4,,,
13,13:5,13:5,12:6,13:5,,,
13,13:6,13:6,,13:6,,,
14,14:0-14:1,14:0-14:1,13:1,14:0,,,
14,14:2,14:2,13:2,14:2,,,
14,14:3,14:3,13:3,14:3,,,
14,14:4,14:4,13:4,14:4,,,
14,14:5,14:5,13:5,14:5,,,
14,14:6,14:6,13:6,14:6,,,
14,14:7,14:7,13:7,14:7,,,
15,15:0-15:1,15:0-15:1,14:1,15:0,,,
15,15:2,15:2,14:2,15:2,,,
15,15:3,15:3,14:3,15:3,,,
15,15:4,15:4,14:4,15:4,,,
15,15:5,15:5,14:5,15:5,,,
16,16:0-16:1,16:0-16:1,15:1,16:0,,,
16,16:2,16:2,15:2,16:2,,,
16,16:3,16:3,15:3,16:3,,,
16,16:4,16:4,15:4,16:4,,,
16,16:5,16:5,15:5,16:5,,,
16,16:6,16:6,15:6,16:6,,,
16,16:7,16:7,15:7,16:7,,,
16,16:8,16:8,15:8,16:8,,,
16,16:9,16:9,15:9,16:9,,,
16,16:10,16:10,15:10,16:10,,,
16,16:11,16:11,15:11,16:11,,,
17,17:0-17:1,17:0-17:1,16:1,17:0,,,
17,17:2,17:2,16:2,17:2,,,
17,17:3,17:3,16:3,17:3,,,
17,17:4,17:4,16:4,17:4,,,
17,17:5,17:5,16:5,17:5,,,
17,17:6,17:6,16:6,17:6,,,
17,17:7,17:7,16:7,17:7,,,
17,17:8,17:8,16:8,17:8,,,
17,17:9,17:9,16:9,17:9,,,
17,17:10,17:10,16:10,17:10,,,
17,17:11,17:11,16:11,17:11,,,
17,17:12,17:12,16:12,17:12,,,
17,17:13,17:13,16:13,17:13,,,
17,17:14,17:14,16:14,17:14,,,
17,17:15,17:15,16:15,17:15,,,
18,18:0,18:0,17:1,18:0,,,
18,18:1,18:1,17:2,18:1,,,
18,18:2,18:2,17:3,18:2,,,
18,18:3,18:3,17:4,18:3,,,
18,18:4,18:4,17:5,18:4,,,
18,18:5,18:5,17:6,18:5,,,
18,18:6,18:6,17:7,18:6,,,
18,18:7,18:7,17:8,18:7,,,
18,18:8,18:8,17:9,18:8,,,
18,18:9,18:9,17:10,18:9,,,
18,18:10,18:10,17:11,18:10,,,
18,18:11,18:11,17:12,18:11,,,
18,18:12,18:12,17:13,18:12,,,
18,18:13,18:13,17:14,18:13,,,
18,18:14,18:14,17:15,18:14,,,
18,18:15,18:15,17:16,18:15,,,
18,18:16,18:16,17:17,18:16,,,
18,18:17,18:17,17:18,18:17,,,
18,18:18,18:18,17:19,18:18,,,
18,18:19,18:19,17:20,18:19,,,
18,18:20,18:20,17:21,18:20,,,
18,18:21,18:21,17:22,18:21,,,
18,18:22,18:22,17:23,18:22,,,
18,18:23,18:23,17:24,18:23,,,
18,18:24,18:24,17:25,18:24,,,
18,18:25,18:25,17:26,18:25,,,
18,18:26,18:26,17:27,18:26,,,
18,18:27,18:27,17:28,18:27,,,
18,18:28,18:28,17:29,18:28,,,
18,18:29,18:29,17:30,18:29,,,
18,18:30,18:30,17:31,18:30,,,
18,18:31,18:31,17:32,18:31,,,
18,18:32,18:32,17:33,18:32,,,
18,18:33,18:33,17:34,18:33,,,
18,18:34,18:34,17:35,18:34,,,
18,18:35,18:35,17:36,18:35,,,
18,18:36,18:36,17:37,18:36,,,
18,18:37,18:37,17:38,18:37,,,
18,18:38,18:38,17:39,18:38,,,
18,18:39,18:39,17:40,18:39,,,
18,18:40,18:40,17:41,18:40,,,
18,18:41,18:41,17:42,18:41,,,
18,18:42,18:42,17:43,18:42,,,
18,18:43,18:43,17:44,18:43,,,
18,18:44,18:44,17:45,18:44,,,
18,18:45,18:45,17:46,18:45,,,
18,18:46,18:46,17:47,18:46,,,
18,18:47,18:47,17:48,18:47,,,
18,18:48,18:48,17:49,18:48,,,
18,18:49,18:49,17:50,18:49,,,
18,18:50,18:50,17:51,18:50,,,
19,19:0,19:0,18:1,19:0,,,
19,19:1,19:1,18:2,19:1,,,
19,19:2,19:2,18:3,19:2,,,
19,19:3,19:3,18:4,19:3,,,
19,19:4,19:4,18:5,19:4,,,
19,19:5,19:5,18:6,19:5,,,
19,19:6,19:6,18:7,19:6,,,
19,19:7,19:7,18:8,19:7,,,
19,19:8,19:8,18:9,19:8,,,
19,19:9,19:9,18:10,19:9,,,
19,19:10,19:10,18:11,19:10,,,
19,19:11,19:11,18:12,19:11,,,
19,19:12,19:12,18:13,19:12,,,
19,19:13,19:13,18:14,19:13,,,
19,19:14,19:14,18:15,19:14,,,
20,20:0,20:0,19:1,20:0,,,
20,20:1,20:1,19:2,20:1,,,
20,20:2,20:2,19:3,20:2,,,
20,20:3,20:3,19:4,20:3,,,
20,20:4,20:4,19:5,20:4,,,
20,20:5,20:5,19:6,20:5,,,
20,20:6,20:6,19:7,20:6,,,
20,20:7,20:7,19:8,20:7,,,
20,20:8,20:8,19:9,20:8,,,
20,20:9,20:9,19:10,20:9,,,
21,21:0,21:0,20:1,21:0,,,
21,21:1,21:1,20:2,21:1,,,
21,21:2,21:2,20:3,21:2,,,
21,21:3,21:3,20:4,21:3,,,
21,21:4,21:4,20:5,21:4,,,
21,21:5,21:5,20:6,21:5,,,
21,21:6,21:6,20:7,21:6,,,
21,21:7,21:7,20:8,21:7,,,
21,21:8,21:8,20:9,21:8,,,
21,21:9,21:9,20:10,21:9,,,
21,21:10,21:10,20:11,21:10,,,
21,21:11,21:11,20:12,21:11,,,
21,21:12,21:12,20:13,21:12,,,
21,21:13,21:13,20:14,21:13,,,
22,22:0,22:0,21:1,22:0,,,
22,22:1,22:1,21:2,22:1,,,
22,22:2,22:2,21:3,22:2,,,
22,22:3,22:3,21:4,22:3,,,
22,22:4,22:4,21:5,22:4,,,
22,22:5,22:5,21:6,22:5,,,
22,22:6,22:6,21:7,22:6,,,
22,22:7,22:7,21:8,22:7,,,
22,22:8,22:8,21:9,22:8,,,
22,22:9,22:9,21:10,22:9,,,
22,22:10,22:10,21:11,22:10,,,
22,22:11,22:11,21:12,22:11,,,
22,22:12,22:12,21:13,22:12,,,
22,22:13,22:13,21:14,22:13,,,
22,22:14,22:14,21:15,22:14,,,
22,22:15,22:15,21:16,22:15,,,
22,22:16,22:16,21:17,22:16,,,
22,22:17,22:17,21:18,22:17,,,
22,22:18,22:18,21:19,22:18,,,
22,22:19,22:19,21:20,22:19,,,
22,22:20,22:20,21:21,22:20,,,
22,22:21,22:21,21:22,22:21,,,
22,22:22,22:22,21:23,22:22,,,
